median_house_value,housing_median_age,total_rooms,population,total_bedrooms,households,median_income,ocean_proximity,latitude,longitude,is_train,scaled_housing_median_age,scaled_clean_total_rooms,scaled_clean_population,scaled_clean_total_bedrooms,scaled_clean_households,scaled_clean_median_income,log10_median_house_value,bucketized_longitude,bucketized_latitude,bucketized_latitude_X_bucketized_longitude,hashed_bucketized_latitude_X_bucketized_longitude,encoded_ocean_proximity
452600.0,41.0,880.0,322.0,129.0,126.0,8.3252,NEAR BAY,37.88,-122.23,True,0.9828702,-1.1194727,-1.3253318,-1.3025811,-1.2928019,2.5356135,5.6557145,1,8,8_X_1,128,3
358500.0,21.0,7099.0,2401.0,1106.0,1138.0,8.3014,NEAR BAY,37.86,-122.22,True,-0.60723394,2.3209896,1.3853087,2.1010962,2.3495462,2.5356135,5.554489,1,8,8_X_1,128,3
352100.0,52.0,1467.0,496.0,190.0,177.0,7.2574,NEAR BAY,37.85,-122.24,True,1.8574275,-0.6991707,-1.0984672,-1.0900689,-1.1008021,2.079999,5.546666,1,8,8_X_1,128,3
341300.0,52.0,1274.0,558.0,235.0,219.0,5.6431,NEAR BAY,37.85,-122.25,True,1.8574275,-0.837362,-1.0176305,-0.93329775,-0.94268465,1.1075029,5.5331364,1,8,8_X_1,128,3
342200.0,52.0,1627.0,565.0,280.0,259.0,3.8462,NEAR BAY,37.85,-122.25,True,1.8574275,-0.58460796,-1.0085037,-0.7765265,-0.7920966,0.025003985,5.53428,1,8,8_X_1,128,3
269700.0,52.0,919.0,413.0,213.0,193.0,4.0368,NEAR BAY,37.85,-122.25,True,1.8574275,-1.0915481,-1.2066842,-1.0099415,-1.0405668,0.13982634,5.430881,1,8,8_X_1,128,3
299200.0,52.0,2535.0,1094.0,489.0,514.0,3.6591,NEAR BAY,37.84,-122.25,False,1.8574275,0.06553558,-0.31878325,-0.04841134,0.16790213,-0.08770989,5.4759617,1,8,8_X_1,128,3
241400.0,52.0,3104.0,1157.0,687.0,647.0,3.12,NEAR BAY,37.84,-122.25,True,1.8574275,0.47294933,-0.23664263,0.641382,0.66860735,-0.41247764,5.382737,1,8,8_X_1,128,3
226700.0,42.0,2555.0,1206.0,665.0,595.0,2.0804,NEAR BAY,37.84,-122.26,True,1.0623754,0.07985593,-0.17275548,0.5647383,0.4728429,-1.0387596,5.3554516,1,8,8_X_1,128,3
261100.0,52.0,3549.0,1551.0,707.0,714.0,3.6912,NEAR BAY,37.84,-122.25,True,1.8574275,0.7915769,0.27706224,0.7110581,0.9208423,-0.06837202,5.4168067,1,8,8_X_1,128,3
281500.0,52.0,2202.0,910.0,434.0,402.0,3.2031,NEAR BAY,37.85,-122.26,False,1.8574275,-0.17289811,-0.558686,-0.2400206,-0.25374436,-0.36241606,5.4494786,1,8,8_X_1,128,3
241800.0,52.0,3503.0,1504.0,752.0,734.0,3.2705,NEAR BAY,37.85,-122.26,True,1.8574275,0.75864017,0.21578272,0.86782926,0.9961363,-0.32181257,5.383456,1,8,8_X_1,128,3
213500.0,52.0,2491.0,1098.0,474.0,468.0,3.075,NEAR BAY,37.85,-122.26,True,1.8574275,0.03403083,-0.31356797,-0.10066841,-0.005274113,-0.43958682,5.3293977,1,8,8_X_1,128,3
